mu,L,conditionnement_H,pas_maximal_2_sur_L,pas_utilise,iterations,a_converge,cout_technique,violation_residuelle
1.0,14.952456856395285,7.540311171018726,0.13375728278022644,0.06687864139011322,124,True,11409.760426137902,84.27514691312061
10.0,127.42599959741354,63.60819770046656,0.015695384037156854,0.007847692018578427,982,True,27449.70267644952,15.815403533567775
100.0,1252.2520388257003,624.3484013235229,0.0015971225743625066,0.0007985612871812533,8305,True,32360.316794816295,2.0074328110324906
1000.0,12500.521836115127,6231.755875695984,0.00015999332077656317,7.999666038828159e-05,69153,True,33093.64360017235,0.20649187633054428
