densite,n_conduites,connexe,rang_A,dimension_noyau,conditionnement_A,conditionnement_H,iterations,a_converge
0.0,9,True,9,0,5.655254782420252,29.996829552980724,632,True
0.25,10,True,9,1,5.292885416954031,459.46268751374697,7626,True
0.5,11,True,9,2,4.421215557802848,487.4470894146462,7626,True
0.75,12,True,9,3,4.724417928174765,624.3483936657257,8305,True
1.0,13,True,9,4,4.7244179281747645,624.3484013235183,8305,True
